id,x,y,dd,v,d,t,s,r,p,c
11176641,13.824006,100.608798,2021-08-10,รถจักรยานยนต์,16285536,0:00,K,0,0,0
11176650,13.76750381,100.7324202,2021-02-20,รถจักรยานยนต์,16137792,0:00,K,0,0,0
11176667,13.646545,100.362237,2021-03-21,รถจักรยานยนต์,16162848,0:00,K,0,0,0
11176673,13.75420904,100.4092938,2021-04-11,รถจักรยานยนต์,16180992,0:00,K,0,0,0
11176729,13.73240365,100.58219,2021-02-10,รถจักรยานยนต์,16129152,0:00,K,0,0,0
11176794,13.776714,100.455358,2021-02-24,รถจักรยานยนต์,16141248,0:00,K,0,0,0
11176811,13.783896,100.394887,2021-02-20,รถจักรยานยนต์,16137792,0:00,K,0,0,0
11176816,13.710041,100.542081,2021-05-18,รถจักรยานยนต์,16212960,0:00,K,0,0,0
11176858,13.67128117,100.5058841,2021-01-03,รถจักรยานยนต์,16096320,0:00,K,0,0,0
11176903,13.677177,100.608335,2021-01-01,รถจักรยานยนต์,16094592,0:00,K,0,0,0
11177576,13.928742,100.580705,2021-03-16,รถจักรยานยนต์,16158528,0:00,K,0,0,0
11177595,13.71766822,100.4517605,2021-03-18,รถจักรยานยนต์,16160256,0:00,K,0,0,0
11177614,13.72247178,100.7312531,2021-03-20,รถจักรยานยนต์,16161984,0:00,K,0,0,0
11177622,13.71878541,100.4672097,2021-03-21,รถจักรยานยนต์,16162848,0:00,K,0,0,0
11177646,13.72917732,100.7464223,2021-03-24,รถจักรยานยนต์,16165440,0:00,K,0,0,0
11177655,13.72614213,100.5808619,2021-03-25,รถจักรยานยนต์,16166304,0:00,K,0,0,0
11177686,13.74763,100.52066,2021-03-28,รถจักรยานยนต์,16168896,0:00,K,0,0,0
11177701,13.68231791,100.6104306,2021-03-29,รถจักรยานยนต์,16169760,0:00,K,0,0,0
11177702,13.73256585,100.7842103,2021-03-30,รถจักรยานยนต์,16170624,0:00,K,0,0,0
11177711,13.811318,100.572111,2021-03-31,รถจักรยานยนต์,16171488,0:00,K,0,0,0
11177725,13.85884226,100.6923074,2021-04-02,รถจักรยานยนต์,16173216,0:00,K,0,0,0
11177739,13.83488046,100.7667166,2021-04-03,รถจักรยานยนต์,16174080,0:00,K,0,0,0
11177749,13.74863364,100.5989166,2021-04-04,รถจักรยานยนต์,16174944,0:00,K,0,0,0
11177757,13.83408905,100.851698,2021-04-04,รถจักรยานยนต์,16174944,0:00,K,0,0,0
11177759,13.749309,100.446933,2021-04-05,รถจักรยานยนต์,16175808,0:00,K,0,0,0
11177770,13.695287,100.676854,2021-04-06,รถจักรยานยนต์,16176672,0:00,K,0,0,0
11177777,13.79596689,100.4105403,2021-04-08,รถจักรยานยนต์,16178400,0:00,K,0,0,0
11177784,13.69541056,100.6061424,2021-04-08,รถจักรยานยนต์,16178400,0:00,K,0,0,0
11177842,13.83176,100.61327,2021-04-13,รถจักรยานยนต์,16182720,0:00,K,0,0,0
11177846,13.939621,100.641884,2021-04-13,รถจักรยานยนต์,16182720,0:00,K,0,0,0
11177875,13.775582,100.841455,2021-04-16,รถจักรยานยนต์,16185312,0:00,K,0,0,0
11177892,13.75411167,100.363945,2021-04-18,รถจักรยานยนต์,16187040,0:00,K,0,0,0
11177895,13.779082,100.644163,2021-04-19,รถจักรยานยนต์,16187904,0:00,K,0,0,0
11177914,13.79517437,100.6041288,2021-04-22,รถจักรยานยนต์,16190496,0:00,K,0,0,0
11177917,13.73599112,100.4877722,2021-04-23,รถจักรยานยนต์,16191360,0:00,K,0,0,0
11177933,13.71819652,100.4686102,2021-04-26,รถจักรยานยนต์,16193952,0:00,K,0,0,0
11177935,13.77079506,100.7998586,2021-04-26,รถจักรยานยนต์,16193952,0:00,K,0,0,0
11177942,13.813855,100.578456,2021-04-26,รถจักรยานยนต์,16193952,0:00,K,0,0,0
11177949,13.72114355,100.6987819,2021-04-27,รถจักรยานยนต์,16194816,0:00,K,0,0,0
11177954,13.76214756,100.7293252,2021-04-27,รถจักรยานยนต์,16194816,0:00,K,0,0,0
11177957,13.84015332,100.7858196,2021-04-28,รถจักรยานยนต์,16195680,0:00,K,0,0,0
11177969,13.944347,100.746631,2021-04-30,รถจักรยานยนต์,16197408,0:00,K,0,0,0
11177979,13.68269058,100.4998706,2021-05-02,รถจักรยานยนต์,16199136,0:00,K,0,0,0
11178017,13.721796,100.463542,2021-05-10,รถจักรยานยนต์,16206048,0:00,K,0,0,0
11178019,13.7157781,100.7028971,2021-05-10,รถจักรยานยนต์,16206048,0:00,K,0,0,0
11178021,13.820279,100.5325,2021-05-10,รถจักรยานยนต์,16206048,0:00,K,0,0,0
11178028,13.8431229,100.7136403,2021-05-11,รถจักรยานยนต์,16206912,0:00,K,0,0,0
11178051,13.69919,100.544782,2021-05-14,รถจักรยานยนต์,16209504,0:00,K,0,0,0
11178055,13.824871,100.628174,2021-05-15,รถจักรยานยนต์,16210368,0:00,K,0,0,0
11178064,13.62714143,100.3940172,2021-05-16,รถจักรยานยนต์,16211232,0:00,K,0,0,0
11178074,13.614902,100.381613,2021-05-17,รถจักรยานยนต์,16212096,0:00,K,0,0,0
11178077,13.736725,100.630947,2021-05-17,รถจักรยานยนต์,16212096,0:00,K,0,0,0
11178078,13.70727873,100.4688264,2021-05-17,รถจักรยานยนต์,16212096,0:00,K,0,0,0
11178081,13.70757123,100.3678054,2021-05-18,รถจักรยานยนต์,16212960,0:00,K,0,0,0
11178082,13.746154,100.427271,2021-05-18,รถจักรยานยนต์,16212960,0:00,K,0,0,0
11178091,13.80572699,100.8511253,2021-05-20,รถจักรยานยนต์,16214688,0:00,K,0,0,0
11178099,13.75298552,100.7712515,2021-05-20,รถจักรยานยนต์,16214688,0:00,K,0,0,0
11178103,13.88634014,100.6159286,2021-05-21,รถจักรยานยนต์,16215552,0:00,K,0,0,0
11178135,13.84470175,100.6509477,2021-05-25,รถจักรยานยนต์,16219008,0:00,K,0,0,0
11178143,13.677784,100.498719,2021-05-27,รถจักรยานยนต์,16220736,0:00,K,0,0,0
11178148,13.901762,100.694891,2021-05-28,รถจักรยานยนต์,16221600,0:00,K,0,0,0
11178149,13.901762,100.694891,2021-05-28,รถจักรยานยนต์,16221600,0:00,K,0,0,0
11178178,13.90993318,100.6169987,2021-05-31,รถจักรยานยนต์,16224192,0:00,K,0,0,0
11178218,13.77800688,100.3537442,2021-06-05,รถจักรยานยนต์,16228512,0:00,K,0,0,0
11178219,13.685849,100.650189,2021-06-05,รถจักรยานยนต์,16228512,0:00,K,0,0,0
11178226,13.707707,100.783419,2021-06-06,รถจักรยานยนต์,16229376,0:00,K,0,0,0
11178233,13.894076,100.671245,2021-06-07,รถจักรยานยนต์,16230240,0:00,K,0,0,0
11178235,13.719656,100.505945,2021-06-07,รถจักรยานยนต์,16230240,0:00,K,0,0,0
11178258,13.781445,100.543783,2021-06-12,รถจักรยานยนต์,16234560,0:00,K,0,0,0
11178263,13.62885272,100.5045953,2021-06-13,รถจักรยานยนต์,16235424,0:00,K,0,0,0
11178274,13.78459,100.494545,2021-06-13,รถจักรยานยนต์,16235424,0:00,K,0,0,0
11178284,13.67438157,100.6458646,2021-06-15,รถจักรยานยนต์,16237152,0:00,K,0,0,0
11178285,13.757283,100.520569,2021-06-15,รถจักรยานยนต์,16237152,0:00,K,0,0,0
11178298,13.739124,100.497559,2021-06-17,รถจักรยานยนต์,16238880,0:00,K,0,0,0
11178299,13.739124,100.497559,2021-06-17,รถจักรยานยนต์,16238880,0:00,K,0,0,0
11178313,13.711842,100.346477,2021-06-18,รถจักรยานยนต์,16239744,0:00,K,0,0,0
11178324,13.821275,100.901604,2021-06-20,รถจักรยานยนต์,16241472,0:00,K,0,0,0
11178336,13.689664,100.509261,2021-06-22,รถจักรยานยนต์,16243200,0:00,K,0,0,0
11178371,13.824173,100.608712,2021-06-25,รถจักรยานยนต์,16245792,0:00,K,0,0,0
11178385,13.75687163,100.5013656,2021-06-26,รถจักรยานยนต์,16246656,0:00,K,0,0,0
11178387,13.801531,100.706111,2021-06-26,รถจักรยานยนต์,16246656,0:00,K,0,0,0
11178394,13.787301,100.704467,2021-06-28,รถจักรยานยนต์,16248384,0:00,K,0,0,0
11178407,13.709167,100.491651,2021-06-29,รถจักรยานยนต์,16249248,0:00,K,0,0,0
11178408,13.719801,100.543675,2021-06-29,รถจักรยานยนต์,16249248,0:00,K,0,0,0
11178411,13.825874,100.640948,2021-06-29,รถจักรยานยนต์,16249248,0:00,K,0,0,0
11178413,13.82443497,100.870569,2021-06-30,รถจักรยานยนต์,16250112,0:00,K,0,0,0
11178418,13.731478,100.388869,2021-07-01,รถจักรยานยนต์,16250976,0:00,K,0,0,0
11178425,13.74052921,100.4707643,2021-07-01,รถจักรยานยนต์,16250976,0:00,K,0,0,0
11175588,13.7300339,100.7468052,2021-04-21,รถจักรยานยนต์,16189632,0:00,K,0,0,0
11175619,13.812845,100.703303,2021-05-05,รถจักรยานยนต์,16201728,0:00,K,0,0,0
11175631,13.64507682,100.3801566,2021-05-09,รถจักรยานยนต์,16205184,0:00,K,0,0,0
11175646,13.71170695,100.4224101,2021-05-16,รถจักรยานยนต์,16211232,0:00,K,0,0,0
11175683,13.614235,100.405946,2021-06-01,รถจักรยานยนต์,16225056,0:00,K,0,0,0
11175688,13.922974,100.658743,2021-06-03,รถจักรยานยนต์,16226784,0:00,K,0,0,0
11175717,13.924001,100.624382,2021-06-16,รถจักรยานยนต์,16238016,0:00,K,0,0,0
11175738,13.612316,100.404873,2021-06-23,รถจักรยานยนต์,16244064,0:00,K,0,0,0
11175739,13.689225,100.389095,2021-06-23,รถจักรยานยนต์,16244064,0:00,K,0,0,0
11175756,13.72957565,100.8056954,2021-07-05,รถจักรยานยนต์,16254432,0:00,K,0,0,0
11175812,13.827912,100.765559,2021-08-07,รถจักรยานยนต์,16282944,0:00,K,0,0,0
11175847,13.71486805,100.5764574,2021-08-23,รถจักรยานยนต์,16296768,0:00,K,0,0,0
11176013,13.71543805,100.5598626,2021-07-23,รถจักรยานยนต์,16269984,0:00,K,0,0,0
11176045,13.65835692,100.4130733,2021-03-12,รถจักรยานยนต์,16155072,0:00,K,0,0,0
11176062,13.613234,100.415902,2021-04-18,รถจักรยานยนต์,16187040,0:00,K,0,0,0
11176125,13.754089,100.460956,2021-01-17,รถจักรยานยนต์,16108416,0:00,K,0,0,0
11176205,13.7327186,100.80839,2021-01-09,รถจักรยานยนต์,16101504,0:00,K,0,0,0
11176223,13.737886,100.588728,2021-05-20,รถจักรยานยนต์,16214688,0:00,K,0,0,0
11176266,13.649107,100.385142,2021-03-03,รถจักรยานยนต์,16147296,0:00,K,0,0,0
11176320,13.728583,100.395707,2021-04-29,รถจักรยานยนต์,16196544,0:00,K,0,0,0
11176330,13.84017416,100.7860741,2021-02-26,รถจักรยานยนต์,16142976,0:00,K,0,0,0
11176381,13.76694826,100.6019796,2021-03-19,รถจักรยานยนต์,16161120,0:00,K,0,0,0
11176451,13.814889,100.516398,2021-09-12,รถจักรยานยนต์,16314048,0:00,K,0,0,0
11176454,13.68912,100.659077,2021-05-29,รถจักรยานยนต์,16222464,0:00,K,0,0,0
11176470,13.769179,100.464775,2021-03-03,รถจักรยานยนต์,16147296,0:00,K,0,0,0
11176480,13.693994,100.380268,2021-06-19,รถจักรยานยนต์,16240608,0:00,K,0,0,0
11176486,13.83404868,100.8518019,2021-05-05,ไม่ระบุพาหนะ,16201728,0:00,K,0,0,0
11176495,13.67899512,100.5716714,2021-07-01,รถจักรยานยนต์,16250976,0:00,K,0,0,0
11176500,13.789861,100.703309,2021-01-21,รถจักรยานยนต์,16111872,0:00,K,0,0,0
11176504,13.764215,100.471025,2021-01-16,รถจักรยานยนต์,16107552,0:00,K,0,0,0
11176514,13.754089,100.460956,2021-01-18,รถจักรยานยนต์,16109280,0:00,K,0,0,0
11176528,13.855706,100.85371,2021-01-07,รถจักรยานยนต์,16099776,0:00,K,0,0,0
11175277,13.858722,100.844435,2021-01-05,รถจักรยานยนต์,16098048,0:00,K,0,0,0
11175285,13.7327186,100.80839,2021-01-09,รถจักรยานยนต์,16101504,0:00,K,0,0,0
11175297,13.750984,100.51698,2021-01-13,รถจักรยานยนต์,16104960,0:00,K,0,0,0
11175306,13.80471114,100.8621553,2021-01-19,รถจักรยานยนต์,16110144,0:00,K,0,0,0
11175321,13.62592768,100.4669599,2021-01-22,รถจักรยานยนต์,16112736,0:00,K,0,0,0
11175327,13.81144721,100.591291,2021-01-24,รถจักรยานยนต์,16114464,0:00,K,0,0,0
11175345,13.907155,100.671531,2021-02-03,รถจักรยานยนต์,16123104,0:00,K,0,0,0
11175366,13.68302709,100.4910948,2021-02-10,รถจักรยานยนต์,16129152,0:00,K,0,0,0
11175367,13.927155,100.593694,2021-02-12,รถจักรยานยนต์,16130880,0:00,K,0,0,0
11175368,13.927155,100.593694,2021-02-12,รถจักรยานยนต์,16130880,0:00,K,0,0,0
11175404,13.760781,100.52688,2021-02-22,รถจักรยานยนต์,16139520,0:00,K,0,0,0
11175444,13.70507029,100.6909546,2021-03-07,รถจักรยานยนต์,16150752,0:00,K,0,0,0
11175457,13.641595,100.432725,2021-03-10,รถจักรยานยนต์,16153344,0:00,K,0,0,0
11175468,13.81986,100.6580391,2021-03-13,รถจักรยานยนต์,16155936,0:00,K,0,0,0
